ISO3,Country,Year,Month,Air_internal,Air_Intl,Air_total
CHN,China,2010,1,17585,1823,19408
CHN,China,2010,2,18208,2039,20247
CHN,China,2010,3,19688,2037,21725
CHN,China,2010,4,19399,2168,21567
CHN,China,2010,5,19439,2090,21529
CHN,China,2010,6,19768,2081,21849
CHN,China,2010,7,26666,2406,29072
CHN,China,2010,8,23755,2541,26296
CHN,China,2010,9,20403,2198,22601
CHN,China,2010,10,22141,2335,24476
CHN,China,2010,11,18727,2057,20784
CHN,China,2010,12,18847,2184,21031
CHN,China,2011,1,20380,2287,22667
CHN,China,2011,2,19405,2227,21632
CHN,China,2011,3,20646,2170,22816
CHN,China,2011,4,22098,2270,24368
CHN,China,2011,5,21862,2208,24070
CHN,China,2011,6,21009,2238,23247
CHN,China,2011,7,24667,2653,27320
CHN,China,2011,8,24899,2685,27584
CHN,China,2011,9,22570,2442,25012
CHN,China,2011,10,23804,2573,26377
CHN,China,2011,11,21368,2337,23705
CHN,China,2011,12,21682,2690,24372
CHN,China,2012,1,23079,2591,25670
CHN,China,2012,2,21250,2240,23490
CHN,China,2012,3,22488,2541,25029
CHN,China,2012,4,23333,2715,26048
CHN,China,2012,5,22840,2564,25404
CHN,China,2012,6,22729,2575,25304
CHN,China,2012,7,26949,2960,29909
CHN,China,2012,8,27650,3059,30709
CHN,China,2012,9,24834,2606,27440
CHN,China,2012,10,25685,2609,28294
CHN,China,2012,11,21368,2337,23705
CHN,China,2012,12,25455,2903,28358
CHN,China,2013,1,23102,2568,25670
CHN,China,2013,2,25054,2820,27874
CHN,China,2013,3,25953,2831,28784
CHN,China,2013,4,25566,2926,28492
CHN,China,2013,5,25808,2745,28553
CHN,China,2013,6,25765,2889,28654
CHN,China,2013,7,29389,3276,32665
CHN,China,2013,8,31210,3547,34757
CHN,China,2013,9,27322,3163,30485
CHN,China,2013,10,28686,2962,31648
CHN,China,2013,11,25658,2857,28515
CHN,China,2013,12,24867,3006,27873
CHN,China,2014,1,27506,3069,30575
CHN,China,2014,2,27938,3148,31086
CHN,China,2014,3,27132,3115,30247
CHN,China,2014,4,28103,3312,31415
CHN,China,2014,5,28138,3205,31343
CHN,China,2014,6,27413,3194,30607
CHN,China,2014,7,32044,3753,35797
CHN,China,2014,8,33215,4087,37302
CHN,China,2014,9,29594,3560,33154
CHN,China,2014,10,31150,3732,34882
CHN,China,2014,11,28899,3498,32397
CHN,China,2014,12,29218,3927,33145
CHN,China,2015,1,28758,3701,32459
CHN,China,2015,2,30550,4377,34927
CHN,China,2015,3,32584,4115,36699
CHN,China,2015,4,31475,4320,35795
CHN,China,2015,5,31053,4362,35415
CHN,China,2015,6,30049,3995,34044
CHN,China,2015,7,34632,4517,39149
CHN,China,2015,8,36614,5038,41652
CHN,China,2015,9,32395,4328,36723
CHN,China,2015,10,33919,4632,38551
CHN,China,2015,11,30655,4324,34979
CHN,China,2015,12,30719,4532,35251
CHN,China,2016,1,32321,5042,37363
CHN,China,2016,2,33613,5363,38976
CHN,China,2016,3,34018,4917,38935
CHN,China,2016,4,34635,5079,39714
CHN,China,2016,5,34078,4895,38973
CHN,China,2016,6,33296,5007,38303
CHN,China,2016,7,37784,5749,43533
CHN,China,2016,8,40498,5922,46420
CHN,China,2016,9,36734,4958,41692
CHN,China,2016,10,38828,4908,43736
CHN,China,2016,11,35191,4518,39709
CHN,China,2016,12,35309,5098,40407
CHN,China,2017,1,38111,5820,43931
CHN,China,2017,2,37428,5362,42790
CHN,China,2017,3,39117,5188,44305
CHN,China,2017,4,38920,5103,44023
CHN,China,2017,5,39894,5082,44976
CHN,China,2017,6,38613,5113,43726
CHN,China,2017,7,42726,5874,48600
CHN,China,2017,8,44313,6152,50465
CHN,China,2017,9,41182,5365,46547
CHN,China,2017,10,43254,5577,48831
CHN,China,2017,11,41370,5085,46455
CHN,China,2017,12,40895,5761,46656
CHN,China,2018,1,40691,5778,46469
CHN,China,2018,2,42241,6186,48427
CHN,China,2018,3,45215,6187,51402
CHN,China,2018,4,44467,6275,50742
CHN,China,2018,5,44122,6006,50128
CHN,China,2018,6,43232,6147,49379
CHN,China,2018,7,47120,6659,53779
CHN,China,2018,8,49580,6988,56568
CHN,China,2018,9,44358,5931,50289
CHN,China,2018,10,47881,6203,54084
CHN,China,2018,11,44079,5977,50056
CHN,China,2018,12,43611,6565,50176
