ISO3,ADM_name,long,lat
RUS,Russia,96.67647041,61.98044567
GBR,UK,-2.88695152,54.14704819
DEU,Germany,10.38149384,51.10636349
USA,USA,-112.9268341,45.69785106
FRA,France,-2.75522119,42.18010698
JPN,Japan,137.9783476,37.5511774
CHN,China,103.8315717,36.56011515
EGY,Egypt,29.86120871,26.49291963
IND,India,79.61572163,22.88795252
THA,Thailand,101.0033333,15.1144
NGA,Nigeria,8.09123928,9.59531483
IDN,Indonesia,117.2704333,-2.222961
BRA,Brazil,-53.09248235,-10.78085885
AUS,Australia,134.4911188,-25.73231054
ARG,Argentina,-65.17819064,-35.38755136
NZL,New Zealand,171.4706907,-41.82952217
